date,time_riyadh,platform,post_key,content_type,item,asset,buffer_mode,posted,buffer_post_id
2026-06-23,13:10,X,places::ChIJwU0WYgBV-xURkN87qd-yZJs::x,places,برجر أوكل المحالة,places/images/x_1600x900/ChIJwU0WYgBV-xURkN87qd-yZJs.png,customScheduled,false,
2026-06-23,20:30,Instagram,places::ChIJwU0WYgBV-xURkN87qd-yZJs::instagram,places,برجر أوكل المحالة,places/images/instagram_1080x1350/ChIJwU0WYgBV-xURkN87qd-yZJs.png,customScheduled,false,
2026-06-23,21:15,TikTok,places::ChIJwU0WYgBV-xURkN87qd-yZJs::tiktok,places,برجر أوكل المحالة,places/images/tiktok_1080x1920/ChIJwU0WYgBV-xURkN87qd-yZJs.png,customScheduled,false,
2026-06-24,13:10,X,places::ChIJAfOOqq9V4xURBaACs3r2n1w::x,places,WBJ ABHA,places/images/x_1600x900/ChIJAfOOqq9V4xURBaACs3r2n1w.png,customScheduled,false,
2026-06-24,20:30,Instagram,places::ChIJAfOOqq9V4xURBaACs3r2n1w::instagram,places,WBJ ABHA,places/images/instagram_1080x1350/ChIJAfOOqq9V4xURBaACs3r2n1w.png,customScheduled,false,
2026-06-24,21:15,TikTok,places::ChIJAfOOqq9V4xURBaACs3r2n1w::tiktok,places,WBJ ABHA,places/images/tiktok_1080x1920/ChIJAfOOqq9V4xURBaACs3r2n1w.png,customScheduled,false,
2026-06-25,13:10,X,places::ChIJJy56xohV4xURnejZdbLOzFA::x,places,"مطعم مهرانى فرع أبها Maharani Restaurant, Abha Branch",places/images/x_1600x900/ChIJJy56xohV4xURnejZdbLOzFA.png,customScheduled,false,
2026-06-25,20:30,Instagram,places::ChIJJy56xohV4xURnejZdbLOzFA::instagram,places,"مطعم مهرانى فرع أبها Maharani Restaurant, Abha Branch",places/images/instagram_1080x1350/ChIJJy56xohV4xURnejZdbLOzFA.png,customScheduled,false,
2026-06-25,21:15,TikTok,places::ChIJJy56xohV4xURnejZdbLOzFA::tiktok,places,"مطعم مهرانى فرع أبها Maharani Restaurant, Abha Branch",places/images/tiktok_1080x1920/ChIJJy56xohV4xURnejZdbLOzFA.png,customScheduled,false,
2026-06-26,13:10,X,places::ChIJv4pzVgBV4xURGDT7aF-FHbw::x,places,اوكلاهوما برجر Oklahoma BURGER,places/images/x_1600x900/ChIJv4pzVgBV4xURGDT7aF-FHbw.png,customScheduled,false,
2026-06-26,20:30,Instagram,places::ChIJv4pzVgBV4xURGDT7aF-FHbw::instagram,places,اوكلاهوما برجر Oklahoma BURGER,places/images/instagram_1080x1350/ChIJv4pzVgBV4xURGDT7aF-FHbw.png,customScheduled,false,
2026-06-26,21:15,TikTok,places::ChIJv4pzVgBV4xURGDT7aF-FHbw::tiktok,places,اوكلاهوما برجر Oklahoma BURGER,places/images/tiktok_1080x1920/ChIJv4pzVgBV4xURGDT7aF-FHbw.png,customScheduled,false,
2026-06-27,13:10,X,places::ChIJg6hoh6xV4xUR7eJ3Epd0X2o::x,places,Olive Garden Abha-مطعم أوليف جاردن أبها,places/images/x_1600x900/ChIJg6hoh6xV4xUR7eJ3Epd0X2o.png,customScheduled,false,
2026-06-27,20:30,Instagram,places::ChIJg6hoh6xV4xUR7eJ3Epd0X2o::instagram,places,Olive Garden Abha-مطعم أوليف جاردن أبها,places/images/instagram_1080x1350/ChIJg6hoh6xV4xUR7eJ3Epd0X2o.png,customScheduled,false,
2026-06-27,21:15,TikTok,places::ChIJg6hoh6xV4xUR7eJ3Epd0X2o::tiktok,places,Olive Garden Abha-مطعم أوليف جاردن أبها,places/images/tiktok_1080x1920/ChIJg6hoh6xV4xUR7eJ3Epd0X2o.png,customScheduled,false,
2026-06-28,13:10,X,places::ChIJvYlUfGlV4xURD8Yy8H-WeYw::x,places,بنباستيك برجر bunbastic burger,places/images/x_1600x900/ChIJvYlUfGlV4xURD8Yy8H-WeYw.png,customScheduled,false,
2026-06-28,20:30,Instagram,places::ChIJvYlUfGlV4xURD8Yy8H-WeYw::instagram,places,بنباستيك برجر bunbastic burger,places/images/instagram_1080x1350/ChIJvYlUfGlV4xURD8Yy8H-WeYw.png,customScheduled,false,
2026-06-28,21:15,TikTok,places::ChIJvYlUfGlV4xURD8Yy8H-WeYw::tiktok,places,بنباستيك برجر bunbastic burger,places/images/tiktok_1080x1920/ChIJvYlUfGlV4xURD8Yy8H-WeYw.png,customScheduled,false,
